bucket,count,date
90,16,2016-05-01-17
100,208,2016-05-01-17
200,150,2016-05-01-17
300,146,2016-05-01-17
400,34,2016-05-01-17
500,23,2016-05-01-17
600,16,2016-05-01-17
700,12,2016-05-01-17
800,9,2016-05-01-17
900,2,2016-05-01-17
1000,29,2016-05-01-17
2000,4,2016-05-01-17
3000,4,2016-05-01-17
4000,9,2016-05-01-17
5000,0,2016-05-01-17
6000,1,2016-05-01-17
7000,1,2016-05-01-17
8000,0,2016-05-01-17
9000,2,2016-05-01-17
1,0,2016-05-02-16
2,0,2016-05-02-16
3,0,2016-05-02-16
4,1,2016-05-02-16
5,3,2016-05-02-16
6,5,2016-05-02-16
7,3,2016-05-02-16
8,6,2016-05-02-16
9,10,2016-05-02-16
10,239,2016-05-02-16
20,469,2016-05-02-16
30,570,2016-05-02-16
40,518,2016-05-02-16
50,438,2016-05-02-16
60,370,2016-05-02-16
70,330,2016-05-02-16
80,222,2016-05-02-16
90,178,2016-05-02-16
100,1918,2016-05-02-16
200,1269,2016-05-02-16
300,1058,2016-05-02-16
400,336,2016-05-02-16
500,193,2016-05-02-16
600,124,2016-05-02-16
700,94,2016-05-02-16
800,58,2016-05-02-16
900,53,2016-05-02-16
1000,218,2016-05-02-16
2000,83,2016-05-02-16
3000,34,2016-05-02-16
4000,26,2016-05-02-16
5000,17,2016-05-02-16
6000,17,2016-05-02-16
7000,6,2016-05-02-16
8000,6,2016-05-02-16
9000,6,2016-05-02-16
1,0,2016-05-01-19
2,0,2016-05-01-19
3,0,2016-05-01-19
4,1,2016-05-01-19
5,0,2016-05-01-19
6,0,2016-05-01-19
7,1,2016-05-01-19
8,1,2016-05-01-19
9,3,2016-05-01-19
10,21,2016-05-01-19
20,43,2016-05-01-19
30,60,2016-05-01-19
40,73,2016-05-01-19
50,39,2016-05-01-19
60,37,2016-05-01-19
70,37,2016-05-01-19
80,37,2016-05-01-19
90,28,2016-05-01-19
100,244,2016-05-01-19
200,216,2016-05-01-19
300,174,2016-05-01-19
400,64,2016-05-01-19
500,28,2016-05-01-19
600,22,2016-05-01-19
700,17,2016-05-01-19
800,12,2016-05-01-19
900,8,2016-05-01-19
1000,33,2016-05-01-19
2000,16,2016-05-01-19
3000,5,2016-05-01-19
4000,6,2016-05-01-19
5000,3,2016-05-01-19
6000,3,2016-05-01-19
7000,4,2016-05-01-19
8000,1,2016-05-01-19
9000,1,2016-05-01-19
1,0,2016-05-01-20
2,0,2016-05-01-20
3,0,2016-05-01-20
4,0,2016-05-01-20
5,0,2016-05-01-20
6,0,2016-05-01-20
7,0,2016-05-01-20
8,0,2016-05-01-20
9,0,2016-05-01-20
10,25,2016-05-01-20
20,53,2016-05-01-20
30,73,2016-05-01-20
40,69,2016-05-01-20
50,75,2016-05-01-20
60,57,2016-05-01-20
70,39,2016-05-01-20
80,40,2016-05-01-20
90,16,2016-05-01-20
100,265,2016-05-01-20
200,207,2016-05-01-20
300,225,2016-05-01-20
400,49,2016-05-01-20
500,24,2016-05-01-20
600,15,2016-05-01-20
700,7,2016-05-01-20
800,11,2016-05-01-20
900,7,2016-05-01-20
1000,43,2016-05-01-20
2000,20,2016-05-01-20
3000,8,2016-05-01-20
4000,7,2016-05-01-20
5000,7,2016-05-01-20
6000,3,2016-05-01-20
7000,0,2016-05-01-20
8000,1,2016-05-01-20
9000,0,2016-05-01-20
1,0,2016-05-07-19
2,2,2016-05-07-19
3,1,2016-05-07-19
4,1,2016-05-07-19
5,2,2016-05-07-19
6,2,2016-05-07-19
7,1,2016-05-07-19
8,6,2016-05-07-19
9,4,2016-05-07-19
10,199,2016-05-07-19
20,400,2016-05-07-19
30,537,2016-05-07-19
40,493,2016-05-07-19
50,427,2016-05-07-19
60,350,2016-05-07-19
70,291,2016-05-07-19
80,276,2016-05-07-19
90,186,2016-05-07-19
100,1973,2016-05-07-19
200,1435,2016-05-07-19
300,1186,2016-05-07-19
400,390,2016-05-07-19
500,211,2016-05-07-19
600,162,2016-05-07-19
700,100,2016-05-07-19
800,74,2016-05-07-19
900,63,2016-05-07-19
1000,241,2016-05-07-19
2000,91,2016-05-07-19
3000,47,2016-05-07-19
4000,38,2016-05-07-19
